"Open","High","Low","Close","Volume","Adjusted","dates","ticker"
145.520004,146.070007,144.610001,145.869995,21265800,143.135193,"2017-06-21","AAPL"
145.770004,146.699997,145.119995,145.630005,19106300,142.899704,"2017-06-22","AAPL"
145.130005,147.160004,145.110001,146.279999,35439400,143.537506,"2017-06-23","AAPL"
147.169998,148.279999,145.380005,145.820007,25692400,143.086136,"2017-06-26","AAPL"
145.009995,146.160004,143.619995,143.729996,24761900,141.035309,"2017-06-27","AAPL"
144.490005,146.110001,143.160004,145.830002,22082400,143.095947,"2017-06-28","AAPL"
144.710007,145.130005,142.279999,143.679993,31499400,140.986252,"2017-06-29","AAPL"
144.449997,144.960007,143.779999,144.020004,23024100,141.319901,"2017-06-30","AAPL"
144.880005,145.300003,143.100006,143.5,14258300,140.809631,"2017-07-03","AAPL"
143.690002,144.789993,142.720001,144.089996,21569600,141.388565,"2017-07-05","AAPL"
143.020004,143.5,142.410004,142.729996,24128800,140.054062,"2017-07-06","AAPL"
142.899994,144.75,142.899994,144.179993,19201700,141.476883,"2017-07-07","AAPL"
144.110001,145.949997,143.369995,145.059998,21090600,142.340378,"2017-07-10","AAPL"
144.729996,145.850006,144.380005,145.529999,19781800,142.801575,"2017-07-11","AAPL"
145.869995,146.179993,144.820007,145.740005,24884500,143.007645,"2017-07-12","AAPL"
145.5,148.490005,145.440002,147.770004,25199400,144.999573,"2017-07-13","AAPL"
147.970001,149.330002,147.330002,149.039993,20132100,146.245743,"2017-07-14","AAPL"
148.820007,150.899994,148.570007,149.559998,23793500,146.756012,"2017-07-17","AAPL"
149.199997,150.130005,148.669998,150.080002,17868800,147.266281,"2017-07-18","AAPL"
150.479996,151.419998,149.949997,151.020004,20923000,148.188644,"2017-07-19","AAPL"
151.5,151.740005,150.190002,150.339996,17243700,147.521393,"2017-07-20","AAPL"
149.990005,150.440002,148.880005,150.270004,26252600,147.452713,"2017-07-21","AAPL"
150.580002,152.440002,149.899994,152.089996,21493200,149.238586,"2017-07-24","AAPL"
151.800003,153.839996,151.800003,152.740005,18853900,149.876404,"2017-07-25","AAPL"
153.350006,153.929993,153.059998,153.460007,15781000,150.582916,"2017-07-26","AAPL"
153.75,153.990005,147.300003,150.559998,32476300,147.737274,"2017-07-27","AAPL"
149.889999,150.229996,149.190002,149.5,17213700,146.697144,"2017-07-28","AAPL"
149.899994,150.330002,148.130005,148.729996,19845900,145.941574,"2017-07-31","AAPL"
149.100006,150.220001,148.410004,150.050003,35368600,147.236847,"2017-08-01","AAPL"
159.279999,159.75,156.160004,157.139999,69936800,154.193909,"2017-08-02","AAPL"
157.050003,157.210007,155.020004,155.570007,27097300,152.65332,"2017-08-03","AAPL"
156.070007,157.399994,155.690002,156.389999,20559900,153.457947,"2017-08-04","AAPL"
157.059998,158.919998,156.669998,158.809998,21870300,155.832596,"2017-08-07","AAPL"
158.600006,161.830002,158.270004,160.080002,36205900,157.078781,"2017-08-08","AAPL"
159.259995,161.270004,159.110001,161.059998,26131500,158.040405,"2017-08-09","AAPL"
159.899994,160,154.630005,155.320007,40804300,153.006531,"2017-08-10","AAPL"
156.600006,158.570007,156.070007,157.479996,26257100,155.134338,"2017-08-11","AAPL"
159.320007,160.210007,158.75,159.850006,22122700,157.46907,"2017-08-14","AAPL"
160.660004,162.199997,160.139999,161.600006,29465500,159.192978,"2017-08-15","AAPL"
161.940002,162.509995,160.149994,160.949997,27671600,158.552673,"2017-08-16","AAPL"
160.520004,160.710007,157.839996,157.860001,27940600,155.508698,"2017-08-17","AAPL"
157.860001,159.5,156.720001,157.5,27428100,155.154068,"2017-08-18","AAPL"
157.5,157.889999,155.110001,157.210007,26368500,154.868378,"2017-08-21","AAPL"
158.229996,160,158.020004,159.779999,21604600,157.400101,"2017-08-22","AAPL"
159.070007,160.470001,158.880005,159.979996,19399100,157.597107,"2017-08-23","AAPL"
160.429993,160.740005,158.550003,159.270004,19818900,156.89769,"2017-08-24","AAPL"
159.649994,160.559998,159.270004,159.860001,25480100,157.478897,"2017-08-25","AAPL"
160.139999,162,159.929993,161.470001,25966000,159.064911,"2017-08-28","AAPL"
160.100006,163.119995,160,162.910004,29516900,160.48349,"2017-08-29","AAPL"
163.800003,163.889999,162.610001,163.350006,27269600,160.916916,"2017-08-30","AAPL"
163.639999,164.520004,163.479996,164,26785100,161.557236,"2017-08-31","AAPL"
164.800003,164.940002,163.630005,164.050003,16591100,161.606491,"2017-09-01","AAPL"
163.75,164.25,160.559998,162.080002,29468500,159.665848,"2017-09-05","AAPL"
162.710007,162.990005,160.520004,161.910004,21651700,159.498367,"2017-09-06","AAPL"
162.089996,162.240005,160.360001,161.259995,21928500,158.858032,"2017-09-07","AAPL"
160.860001,161.149994,158.529999,158.630005,28611500,156.267227,"2017-09-08","AAPL"
160.5,162.050003,159.889999,161.5,31085900,159.094467,"2017-09-11","AAPL"
162.610001,163.960007,158.770004,160.860001,71714000,158.46402,"2017-09-12","AAPL"
159.869995,159.960007,157.910004,159.649994,44907400,157.272018,"2017-09-13","AAPL"
158.990005,159.399994,158.089996,158.279999,23760700,155.92244,"2017-09-14","AAPL"
158.470001,160.970001,158,159.880005,49114600,157.498611,"2017-09-15","AAPL"
160.110001,160.5,158,158.669998,28269400,156.306625,"2017-09-18","AAPL"
159.509995,159.770004,158.440002,158.729996,20810600,156.365723,"2017-09-19","AAPL"
157.899994,158.259995,153.830002,156.070007,52951400,153.745377,"2017-09-20","AAPL"
155.800003,155.800003,152.75,153.389999,37511700,151.10527,"2017-09-21","AAPL"
151.539993,152.270004,150.559998,151.889999,46645400,149.627625,"2017-09-22","AAPL"
149.990005,151.830002,149.160004,150.550003,44387300,148.307571,"2017-09-25","AAPL"
151.779999,153.919998,151.690002,153.139999,36660000,150.859009,"2017-09-26","AAPL"
153.800003,154.720001,153.539993,154.229996,25504200,151.93277,"2017-09-27","AAPL"
153.889999,154.279999,152.699997,153.279999,22005500,150.996918,"2017-09-28","AAPL"
153.210007,154.130005,152,154.119995,26299800,151.824387,"2017-09-29","AAPL"
154.259995,154.449997,152.720001,153.809998,18698800,151.519028,"2017-10-02","AAPL"
154.009995,155.089996,153.910004,154.479996,16230300,152.179031,"2017-10-03","AAPL"
153.630005,153.860001,152.460007,153.479996,20163800,151.193924,"2017-10-04","AAPL"
154.179993,155.440002,154.050003,155.389999,21283800,153.07547,"2017-10-05","AAPL"
154.970001,155.490005,154.559998,155.300003,17407600,152.986816,"2017-10-06","AAPL"
155.809998,156.729996,155.490005,155.839996,16262900,153.518768,"2017-10-09","AAPL"
156.059998,158,155.100006,155.899994,15617000,153.577866,"2017-10-10","AAPL"
155.970001,156.979996,155.75,156.550003,16905600,154.218216,"2017-10-11","AAPL"
156.350006,157.369995,155.729996,156,16125100,153.676392,"2017-10-12","AAPL"
156.729996,157.279999,156.410004,156.990005,16394200,154.651642,"2017-10-13","AAPL"
157.899994,160,157.649994,159.880005,24121500,157.498611,"2017-10-16","AAPL"
159.779999,160.869995,159.229996,160.470001,18997300,158.079819,"2017-10-17","AAPL"
160.419998,160.710007,159.600006,159.759995,16374200,157.380386,"2017-10-18","AAPL"
156.75,157.080002,155.020004,155.979996,42584200,153.656693,"2017-10-19","AAPL"
156.610001,157.75,155.960007,156.25,23974100,153.922668,"2017-10-20","AAPL"
156.889999,157.690002,155.5,156.169998,21984300,153.843857,"2017-10-23","AAPL"
156.289993,157.419998,156.199997,157.100006,17757200,154.76001,"2017-10-24","AAPL"
156.910004,157.550003,155.270004,156.410004,21207100,154.080307,"2017-10-25","AAPL"
