"comp_id","Sector","Industry"
"comp_3540","Financial Services","Banks - Regional - Australia"
"comp_1571","Financial Services","Specialty Finance"
"comp_3641","Financial Services","Banks - Regional - US"
"comp_3405","Financial Services","Banks - Regional - US"
"comp_13030","Communication Services","Telecom Services"
"comp_10939","Technology","Software - Application"
"comp_4372","Healthcare","Drug Manufacturers - Major"
"comp_12165","Industrials","Diversified Industrials"
"comp_10947","Energy","Oil & Gas E&P"
"comp_11447","Communication Services","Telecom Services"
"comp_8625","Technology","Internet Content & Information"
"comp_11309","Financial Services","Banks - Regional - US"
"comp_10881","Consumer Defensive","Household & Personal Products"
"comp_8352","Real Estate","REIT - Diversified"
"comp_9291","Healthcare","Long-Term Care Facilities"
"comp_11818","Industrials","Conglomerates"
"comp_10182","Basic Materials","Agricultural Inputs"
"comp_9720","Energy","Oil & Gas Midstream"
"comp_4321","Financial Services","Banks - Regional - US"
"comp_5699","Consumer Cyclical","Resorts & Casinos"
"comp_3960","Financial Services","Banks - Regional - US"
"comp_6301","Financial Services","Banks - Regional - US"
"comp_13364","Communication Services","Telecom Services"
"comp_9262","Consumer Cyclical","Media - Diversified"
"comp_11216","Financial Services","Asset Management"
"comp_4320","Basic Materials","Lumber & Wood Production"
"comp_1611","Basic Materials","Industrial Metals & Minerals"
"comp_9238","Healthcare","Biotechnology"
"comp_1259","Healthcare","Biotechnology"
"comp_3048","Financial Services","Capital Markets"
"comp_41","Consumer Defensive","Household & Personal Products"
"comp_9882","Financial Services","Asset Management"
"comp_7120","Consumer Cyclical","Publishing"
"comp_549","Consumer Cyclical","Packaging & Containers"
"comp_3453","Healthcare","Diagnostics & Research"
"comp_3233","Healthcare","Diagnostics & Research"
"comp_12347","Consumer Cyclical","Rubber & Plastics"
"comp_3731","Industrials","Conglomerates"
"comp_8974","Industrials","Security & Protection Services"
"comp_5243","Consumer Cyclical","Restaurants"
"comp_6813","Consumer Cyclical","Apparel Manufacturing"
"comp_1359","Consumer Cyclical","Marketing Services"
"comp_93","Industrials","Diversified Industrials"
"comp_8280","Industrials","Business Services"
"comp_7040","Industrials","Pollution & Treatment Controls"
"comp_6944","Energy","Oil & Gas E&P"
"comp_8318","Consumer Cyclical","Home Improvement Stores"
