"sec_id","comp_id"
"sec_4388","comp_3055"
"sec_15326","comp_9936"
"sec_14682","comp_9936"
"sec_6345","comp_4273"
"sec_5515","comp_3291"
"sec_4763","comp_3291"
"sec_14611","comp_9896"
"sec_15367","comp_10403"
"sec_373","comp_316"
"sec_2093","comp_316"
"sec_1942","comp_1552"
"sec_7945","comp_1552"
"sec_10041","comp_6836"
"sec_18711","comp_12527"
"sec_8662","comp_5904"
"sec_16956","comp_11404"
"sec_4619","comp_3189"
"sec_19140","comp_3189"
"sec_5934","comp_3984"
"sec_7046","comp_4792"
"sec_8155","comp_5551"
"sec_8154","comp_5551"
"sec_19254","comp_12889"
"sec_12250","comp_8335"
"sec_15333","comp_10380"
"sec_3787","comp_2686"
"sec_3786","comp_2686"
"sec_5845","comp_2388"
"sec_5786","comp_2388"
"sec_14263","comp_2388"
"sec_3289","comp_2388"
"sec_5844","comp_2388"
"sec_19760","comp_13172"
"sec_11786","comp_8023"
"sec_18848","comp_12616"
"sec_16739","comp_11246"
"sec_11102","comp_7579"
"sec_12471","comp_8486"
"sec_2669","comp_2015"
"sec_11801","comp_7844"
"sec_11519","comp_7844"
"sec_9615","comp_6552"
"sec_269","comp_238"
"sec_1033","comp_238"
"sec_760","comp_659"
"sec_10192","comp_659"
"sec_17765","comp_11920"
"sec_17766","comp_11920"
"sec_6199","comp_4165"
"sec_3398","comp_2461"
"sec_11403","comp_7756"
"sec_16943","comp_11393"
"sec_6080","comp_4068"
"sec_11790","comp_7996"
"sec_11739","comp_7996"
"sec_5371","comp_3679"
"sec_15676","comp_3679"
"sec_17924","comp_12028"
"sec_7122","comp_4846"
"sec_4654","comp_3214"
"sec_8581","comp_5841"
"sec_9440","comp_6434"
"sec_3649","comp_2605"
"sec_17166","comp_11532"
"sec_10250","comp_6981"
"sec_1446","comp_1215"
"sec_20589","comp_13569"
"sec_15025","comp_10179"
"sec_15740","comp_10615"
"sec_8950","comp_6117"
"sec_12514","comp_8523"
"sec_18755","comp_12558"
"sec_8064","comp_5487"
"sec_13011","comp_8892"
"sec_13154","comp_8989"
"sec_13157","comp_8989"
"sec_5220","comp_3587"
"sec_5221","comp_3587"
"sec_2705","comp_2043"
"sec_16808","comp_11299"
"sec_10639","comp_7236"
"sec_18715","comp_12529"
"sec_18716","comp_12529"
"sec_10982","comp_7495"
"sec_19484","comp_13018"
"sec_9993","comp_6805"
"sec_9815","comp_6354"
"sec_9328","comp_6354"
"sec_12576","comp_8566"
"sec_10484","comp_7130"
"sec_19527","comp_5689"
"sec_17064","comp_5689"
"sec_8355","comp_5689"
"sec_9572","comp_6521"
"sec_12714","comp_8588"
"sec_12601","comp_8588"
"sec_4060","comp_2845"
"sec_10378","comp_7058"
"sec_10942","comp_7463"
"sec_10227","comp_6964"
"sec_7708","comp_5250"
"sec_4220","comp_2939"
"sec_9979","comp_6793"
"sec_9541","comp_6495"
"sec_17183","comp_11542"
"sec_18956","comp_12685"
"sec_9473","comp_6448"
"sec_7591","comp_5168"
"sec_7604","comp_5181"
"sec_10195","comp_6942"
"sec_10315","comp_6942"
"sec_2671","comp_2017"
"sec_13605","comp_9271"
"sec_14016","comp_9271"
"sec_1639","comp_1341"
"sec_3482","comp_1341"
"sec_16908","comp_11369"
"sec_10601","comp_7207"
"sec_10230","comp_6966"
"sec_20061","comp_13331"
"sec_16341","comp_10996"
"sec_12060","comp_3900"
"sec_11066","comp_3900"
"sec_10881","comp_3900"
"sec_5759","comp_3900"
"sec_14658","comp_3900"
"sec_10788","comp_3900"
"sec_7024","comp_4772"
"sec_17661","comp_11862"
"sec_6057","comp_4045"
"sec_7184","comp_4045"
"sec_6236","comp_4045"
"sec_14843","comp_10046"
"sec_11823","comp_8051"
"sec_13081","comp_8939"
"sec_13071","comp_8939"
"sec_3324","comp_2412"
"sec_15897","comp_10716"
"sec_6097","comp_4083"
"sec_4027","comp_2827"
"sec_15182","comp_10283"
"sec_20392","comp_5499"
"sec_8080","comp_5499"
